english,portuguese
Tom's not home yet.,Tom não está em casa ainda.
"A cargo vessel, bound for Athens, sank in the Mediterranean without a trace.","Um navio cargueiro, com destino a Atenas, afundou no Mediterrâneo sem deixar vestígios."
Are you trying to get out?,Vocês estão tentando sair?
Is there a bank near the station?,Tem um banco perto da estação?
I have to learn how to shoot.,Eu tenho que aprender a atirar.
Tom is also an artist.,O Tom também é um artista.
That cat has beautiful fur.,Esse gato tem um pelo bonito.
Stop whining.,Pare de reclamar.
I'll call you back later.,Te ligo de volta mais tarde.
They all laughed at Tom's error.,Todos eles riram do erro de Tom.
Your boyfriend is cheating on you.,Teu namorado está te traindo.
We need drinking water.,Nós precisamos de água potável.
Is Tom a teacher?,Tom é professor?
It's one of the things that I like about you.,Essa é uma das coisas que eu gosto em você.
Tom said that Mary should do that outside.,Tom disse que Mary deveria fazer isso do lado de fora.
Tom wanted everybody to leave.,Tom queria que todos saíssem.
"Tom doesn't drink coffee, but he smokes cigarettes.","Tom não toma café, mas ele fuma cigarros."
Tom is happy when he is with Mary.,O Tom fica feliz quando está com a Mary.
I can survive alone.,Eu posso sobreviver sozinho.
Tom will eventually give up.,Tom acabará por desistir.
Tom repeated what I said to Mary.,Tom repetiu o que eu disse para Mary.
How many people have died?,Quantas pessoas morreram?
Please don't leave me again.,"Por favor, não me deixe novamente."
Who won the game?,Quem venceu o jogo?
I bought three bottles of wine.,Eu comprei três garrafas de vinho.
"I am a teacher, too.",Eu sou professor também.
Tom told me that I'm annoying.,Tom me disse que eu sou chata.
Tom was talking to himself.,Tom falava consigo mesmo.
I cut the rope with my pocketknife.,Cortei a corda com meu canivete.
Tom is going to Boston this spring.,Tom vai para Boston nesta primavera.
I doubt very seriously that that will scare Tom.,Duvido muito seriamente que isso vá assustar o Tom.
Tom is probably trying to lose weight.,Tom provavelmente está tentando perder peso.
I get along well with my classmates.,Eu me dou bem com meus colegas de classe.
Aren't you still planning to marry Tom?,Você ainda não está planejando se casar com Tom?
Stay inside.,Fique dentro.
Are these dishes clean?,Estes pratos estão limpos?
Where did that come from?,De onde veio isso?
Why didn't you tell me in advance?,Por que você não me disse antes?
He has three daughters.,Ele tem três filhas.
I'm glad you agree.,Que bom que concordam.
I know that you're in here.,Sei que estão aqui.
Tom is looking a bit happier.,Tom está parecendo um pouco mais feliz.
My brother doesn't swim.,Meu irmão não nada.
We're in agreement.,Estamos de acordo.
Tom didn't even notice Mary.,Tom nem sequer percebeu Mary.
Tom isn't unhappy.,Tom não está infeliz.
How did Tom survive?,Como Tom sobreviveu?
I'm not competitive.,Não sou competitivo.
Do you usually drink a lot of beer?,Você costuma beber muita cerveja?
What was Tom studying last night?,O que o Tom estava estudando ontem à noite?
Don't worry. I won't tell anyone.,Não se preocupe. Eu não vou contar para ninguém.
Tom was going to talk to you first.,O Tom ia falar primeiro com a senhora.
This car needs new tires.,Este carro precisa de pneus novos.
I'm living with my parents.,Estou morando com os meus pais.
Both of them were not present at the meeting.,Nenhum dos dois compareceu à reunião.
Don't you love me anymore?,Você já não me ama?
We aren't young.,Não somos jovens.
Would you like to study with me?,Você gostaria de estudar comigo?
I knew Tom would do something romantic.,Eu sabia que o Tom faria algo romântico.
Tom was here a second ago.,Tom estava aqui há um segundo.
Who knows what'll happen?,Quem sabe o que acontecerá?
Do you know why?,Sabem por quê?
This typewriter doesn't work.,Essa máquina de escrever não funciona.
Tom knows where you are.,O Tom sabe onde estais.
Mary is the prettiest girl in her class.,Mary é a garota mais linda de sua sala de aula.
We've already decided that we'll go to Boston in October.,Já decidimos que iremos para Boston em outubro.
Here's your bag.,Aqui está a sua bolsa.
I said I'd go.,Eu disse que eu iria.
Are you independent?,Vocês são independentes?
"You're wondering why I did it, aren't you?","Você está se perguntando por que eu fiz isso, não está?"
Tom realized Mary was lying.,Tom percebeu que Maria estava mentindo.
I have lost my cap.,Perdi o meu chapéu.
I talked about lions.,Eu falei sobre leões.
I have not heard from you. I was wondering if maybe my mail never got to you.,Não tive notícias suas. Estava me perguntando se talvez o meu email nunca chegou até você.
I'm waiting in line.,Estou esperando na fila.
Tom played soccer and basketball.,O Tom jogou futebol e basquete.
Why aren't you asleep?,Por que não está dormindo?
Tom was my teacher.,Tom foi o meu professor.
The seventh day of the week is Saturday.,O sétimo dia da semana é sábado.
Have you ever seen Tom naked?,Você já viu o Tom nu?
When were you fired?,Quando você foi demitida?
I bet Tom doesn't remember me.,Aposto que Tom não se lembra de mim.
I looked at the lawn again.,Voltei a olhar para a relva.
The nation mourned the death of the king.,A nação ficou de luto pela morte do rei.
Aren't you friends with Tom?,Você não é amigo de Tom?
"In August, I'm going to Japan with my friends.","Em agosto, vou para o Japão com meus amigos."
Try to act your age.,Tente se comportar de acordo com a sua idade.
I've run out of sugar.,Eu fiquei sem açúcar.
I couldn't handle it.,Não consegui lidar com isso.
Who yelled?,Quem gritou?
Have you made up your mind yet?,Vocês já se decidiram?
I think Tom works at night.,Eu acho que Tom trabalha à noite.
I care about Tom.,Eu me preocupo com o Tom.
It's not a dream.,Isso não é um sonho.
Some runners drink water as they are running.,Alguns corredores bebem água durante a corrida.
It's a fad.,É algo ligeiro.
That is the poet I met in Paris.,Aquele é o poeta que conheci em Paris.
They were nice.,Eles eram legais.
Is this chair Tom's?,Essa cadeira é do Tom?
Tom used to love Mary. Now he can't stand her.,"Tom amava Mary. Agora, ele não a suporta."
"Tom is OK, isn't he?","Tom está bem, não está?"
I think my mom knows.,Eu acho que a minha mãe sabe.
The suit's custom-made.,O terno é feito por encomenda.
Tom has cancer.,Tom tem câncer.
Do you work with Tom?,Vocês trabalham com o Tom?
She gave it to him.,Ela deu isso a ele.
Tom wouldn't like it if Mary did that.,O Tom não gostaria que a Mary fizesse isso.
Find out when Tom's birthday is.,Descubra quando é o aniversário de Tom.
She will be famous in the future.,Ela será famosa no futuro.
Nobody tells me anything.,Ninguém me diz nada.
I've decided not to go to Australia with you.,Decidi não ir para a Austrália contigo.
A cat got out from under the car.,Um gato saiu de baixo do carro.
I live near you and Tom.,Moro perto de ti e do Tom.
Why didn't you tell me that you were a vegetarian?,Por que você não me disse que era vegetariana?
The bear caught a salmon in the river and ate it.,O urso pegou um salmão no rio e o comeu.
I was asleep.,Eu estava dormindo.
I would be happy to help you.,Eu ficaria feliz em ajudá-lo.
I think Tom is serious.,Acho que o Tom está sério.
We're everywhere.,Estamos em todos os lugares.
I don't feel like dancing right now.,Não estou a fim de dançar agora.
Did you think I would leave you here?,Vocês acharam que eu os deixaria aqui?
It wasn't relevant.,Isso não era relevante.
Catch me if you can.,Pegue-me se puder.
What was your name?,Qual era o seu nome?
Here's where they usually have dinner.,Aqui é onde eles normalmente jantam.
That sounds like what I want.,Isso parece ser o que eu quero.
Who's your favorite teacher?,Qual é o teu professor favorito?
"You know I have to do that, don't you?","Vocês sabem que eu tenho que fazer isso, não é?"
I'm now in a delicate position.,Agora estou em uma posição delicada.
Why did Tom get so angry?,Por que o Tom ficou com tanta raiva?
She drives me crazy.,Ela me deixa louco.
I don't want to go back there.,Não quero voltar lá.
He hasn't answered my letter yet.,Ele ainda não respondeu a minha carta.
Do you think you'd have time to help me learn French?,Você acha que teria tempo para me ajudar a aprender francês?
I should go to Boston with you.,Eu deveria ir para Boston com vocês.
There's no wine in that bottle.,Não há vinho nessa garrafa.
Your life could depend on it.,Sua vida pode depender disso.
Am I required to get a visa?,Sou obrigado a obter um visto?
I went to the hospital yesterday.,Eu fui ao hospital ontem.
Those are Tom's shoes.,Esses são os sapatos do Tom.
I don't want to go any place.,Não quero ir a lugar nenhum.
There were only three children on the bus.,Havia apenas três crianças no ônibus.
You and I are never likely to agree on this.,É provável que você e eu nunca concordemos sobre isso.
Tom ordered a new suit for himself.,Tom pediu um terno novo para si.
I didn't listen.,Eu não ouvi.
It's a quote from the book.,É uma citação do livro.
Tom is three younger than I am.,Tom é três anos mais novo que eu.
I am in Tokyo today.,Estou em Tóquio hoje.
What's your secret?,Qual é o teu segredo?
Are you saying you don't like this?,Você está dizendo que não gosta desse?
I wouldn't want to miss the party.,Eu não gostaria de perder a festa.
I don't think that I'm a good athlete.,Eu acho que não sou um bom atleta.
My sister sang an English song at the party.,Minha irmã cantou uma música em inglês na festa.
I didn't have time to do anything else.,Eu não tive tempo para fazer mais nada.
Do you know why I can do that?,Vocês sabem por que eu posso fazer isso?
He's in danger.,Ele está em perigo.
I take pride in what I do.,Eu me orgulho do que faço.
You lost your chance.,Você perdeu a sua chance.
Tom walked out of the kitchen.,Tom saiu da cozinha.
I'll be glad to help you.,Eu ficarei feliz em te ajudar.
They want to know about Tom.,Eles querem saber sobre o Tom.
Where's the nearest drugstore?,Onde fica a farmácia mais próxima?
I'm going to use the new hammer that you gave me.,Vou usar o martelo novo que você me deu.
What was I saying?,O que eu estava falando?
Did you say Tom was right?,Você disse que Tom tinha razão?
Why are the windows open?,Por que as janelas estão abertas?
The ice in the Arctic Sea is disappearing.,O gelo no Oceano Ártico está desaparecendo.
Water consists of hydrogen and oxygen.,A água é composta de hidrogênio e oxigênio.
Tom bought a one-way ticket to Boston.,Tom comprou uma passagem só de ida para Boston.
Watch what you're doing!,Vejam o que vocês estão fazendo!
Tom will give a speech tonight.,Tom fará um discurso esta noite.
What are you thinking of?,Em que estás pensando?
Tom and Mary are playing mahjong.,O Tom e a Mary estão jogando mahjong.
I think that you ought to do that.,Acho que você deveria fazer isso.
I don't remember where you live.,Eu não me lembro onde você mora.
How long do butterflies live?,As borboletas vivem por quanto tempo?
This book is small.,Este livro é pequeno.
Tom is insensitive.,Tom é insensível.
I don't know if it's going to work.,Eu não sei se vai funcionar.
Tom lived in a residential area.,Tom morou em uma área residencial.
Tom didn't say a word about it.,Tom não disse uma palavra sobre isso.
I wish that Tom were my brother.,Gostaria que Tom fosse meu irmão.
I know why Tom left me alone.,Sei por que Tom me deixou sozinho.
I swore I'd never tell anyone.,Eu jurei que eu nunca diria para ninguém.
Tom believes Mary has psychic abilities.,Tom acredita que Maria tem habilidades psíquicas.
I think she is sick.,Acho que ela está doente.
Your shift ends at 2:30.,O seu turno termina às 14h30.
My sister plays the piano every day.,Minha irmã toca piano todos os dias.
I haven't yet been to Boston this year.,Eu ainda não fui para Boston este ano.
I have money.,Eu tenho dinheiro.
Tom sat down and wrote a letter.,Tom se sentou e escreveu uma carta.
